FirstName,LastName,Email,Phone,IsActive
John,Doe,john.doe@email.com,+995555111111,1
Jane,Smith,jane.smith@email.com,+995555222222,1
Temo,Meshveliani,temo.mesh@email.com,+995555333333,1
Nika,Beridze,nika.beridze@email.com,+995555444444,0
Anna,Kapanadze,anna.k@email.com,+995555555555,1
Giorgi,Lomidze,g.lomidze@email.com,+995555666666,1
Mariam,Tsiklauri,m.tsik@email.com,+995555777777,1
Irakli,Gelashvili,i.gela@email.com,+995555888888,1
Elene,Chkheidze,e.chk@email.com,+995555999999,1
Luka,Kavtaradze,l.kav@email.com,+995555000000,1
Sandro,Abashidze,s.ab@email.com,+995555101010,1
Tatia,Japaridze,t.jap@email.com,+995555202020,1
Dato,Mchedlishvili,d.mc@email.com,+995555303030,0
Salome,Khutsishvili,s.kh@email.com,+995555404040,1
Giga,Maisuradze,g.mai@email.com,+995555505050,1
Nino,Gogoladze,n.gog@email.com,+995555606060,1
Zura,Kiknadze,z.kik@email.com,+995555707070,1
Maka,Lortkipanidze,m.lor@email.com,+995555808080,1
Levan,Toklikishvili,l.tok@email.com,+995555909090,1
Keti,Arabuli,k.ara@email.com,+995555111000,1
Beka,Kurdadze,b.kur@email.com,+995555222000,1
Ana,Chubinidze,a.chu@email.com,+995555333000,1
Gio,Pruidze,g.pru@email.com,+995555444000,1
Tiko,Dolidze,t.dol@email.com,+995555555000,1
Nata,Barbakadze,n.bar@email.com,+995555666000,1
Otar,Mchedlidze,o.mc@email.com,+995555777000,0
Saba,Khmaladze,s.khm@email.com,+995555888000,1
Nona,Gelovani,n.gel@email.com,+995555999000,1
Ika,Shvelidze,i.shv@email.com,+995555121212,1
Lizi,Asanidze,l.asa@email.com,+995555343434,1
